Dolibarr Schema Summary — addvaluesystem_upver
=======================================================
Total tables: 388

Table Name                                          Cols     Rows
-------------------------------------------------- ----- --------
llx_accounting_account                                18        1
llx_accounting_bookkeeping                            35        9
llx_accounting_bookkeeping_tmp                        34        0
llx_accounting_category_account                        3        0
llx_accounting_fiscalyear                             10        0
llx_accounting_groups_account                          3        0
llx_accounting_journal                                 6        1
llx_accounting_system                                  7        1
llx_actioncomm                                        50      388
llx_actioncomm_extrafields                             4        0
llx_actioncomm_reminder                               12        0
llx_actioncomm_resources                               7       27
llx_adherent                                          44        1
llx_adherent_extrafields                               4        0
llx_adherent_type                                     13        1
llx_adherent_type_extrafields                          4        0
llx_adherent_type_lang                                 7        0
llx_asset                                             32        0
llx_asset_accountancy_codes_economic                  13        0
llx_asset_accountancy_codes_fiscal                     8        0
llx_asset_depreciation                                11        0
llx_asset_depreciation_options_economic               13        0
llx_asset_depreciation_options_fiscal                 12        0
llx_asset_extrafields                                  4        0
llx_asset_model                                       15        0
llx_asset_model_extrafields                            4        0
llx_bank                                              25        7
llx_bank_account                                      43        1
llx_bank_account_extrafields                           4        0
llx_bank_categ                                         3        1
llx_bank_class                                         2        1
llx_bank_extrafields                                   4        0
llx_bank_import                                       24        0
llx_bank_record                                        8        0
llx_bank_record_link                                   3        0
llx_bank_url                                           6        5
llx_blockedlog                                        18        0
llx_blockedlog_authority                               4        0
llx_bom_bom                                           23        3
llx_bom_bom_extrafields                                4        0
llx_bom_bomline                                       14        8
llx_bom_bomline_extrafields                            4        0
llx_bookmark                                           9        1
llx_bordereau_cheque                                  15        0
llx_boxes                                              8        1
llx_boxes_def                                          6        1
llx_budget                                            12        0
llx_budget_lines                                       9        0
llx_c_accounting_category                             12        1
llx_c_accounting_report                                6        1
llx_c_action_trigger                                   7        1
llx_c_actioncomm                                      10        1
llx_c_asset_disposal_type                              5        0
llx_c_availability                                     7        1
llx_c_barcode_type                                     6        1
llx_c_chargesociales                                   8        1
llx_c_civility                                         5        1
llx_c_country                                          9        1
llx_c_currencies                                       4        1
llx_c_departements                                     8        2
llx_c_ecotaxe                                          7        1
llx_c_effectif                                         5        1
llx_c_email_senderprofile                             10        0
llx_c_email_templates                                 22        1
llx_c_exp_tax_cat                                      4        1
llx_c_exp_tax_range                                    5        1
llx_c_field_list                                      13        0
llx_c_format_cards                                    18        1
llx_c_forme_juridique                                  8        1
llx_c_holiday_types                                   11        1
llx_c_hrm_department                                   5        1
llx_c_hrm_function                                     6        1
llx_c_hrm_public_holiday                              10        1
llx_c_incoterms                                        5        1
llx_c_input_method                                     5        1
llx_c_input_reason                                     5        1
llx_c_invoice_subtype                                  6        1
llx_c_lead_status                                      6        1
llx_c_paiement                                         9        1
llx_c_paper_format                                     8        1
llx_c_partnership_type                                 6        0
llx_c_payment_term                                    13        1
llx_c_price_expression                                 3        0
llx_c_price_global_variable                            4        0
llx_c_price_global_variable_updater                    8        0
llx_c_product_nature                                   4        1
llx_c_product_thirdparty_relation_type                 4        0
llx_c_productbatch_qcstatus                            5        1
llx_c_propalst                                         5        1
llx_c_prospectcontactlevel                             5        1
llx_c_prospectlevel                                    5        1
llx_c_recruitment_origin                               4        0
llx_c_regions                                          7        1
llx_c_revenuestamp                                     8        1
llx_c_shipment_mode                                    9        1
llx_c_shipment_package_type                            5        0
llx_c_socialnetworks                                   7        1
llx_c_stcomm                                           6        1
llx_c_stcommcontact                                    5        1
llx_c_ticket_category                                 11        1
llx_c_ticket_resolution                                8        1
llx_c_ticket_severity                                  9        1
llx_c_ticket_type                                      8        1
llx_c_transport_mode                                   5        1
llx_c_tva                                             17        1
llx_c_type_contact                                     8        1
llx_c_type_container                                   8        1
llx_c_type_fees                                        8        1
llx_c_type_resource                                    4        1
llx_c_typent                                           7        1
llx_c_units                                            8        1
llx_c_ziptown                                          8        0
llx_categorie                                         16        1
llx_categorie_account                                  3        0
llx_categorie_actioncomm                               3        1
llx_categorie_contact                                  3        1
llx_categorie_fichinter                                3        0
llx_categorie_fournisseur                              3        1
llx_categorie_invoice                                  3        0
llx_categorie_knowledgemanagement                      3        0
llx_categorie_lang                                     5        0
llx_categorie_member                                   3        1
llx_categorie_order                                    3        0
llx_categorie_product                                  3        3
llx_categorie_project                                  3        1
llx_categorie_societe                                  3        1
llx_categorie_supplier_invoice                         3        0
llx_categorie_supplier_order                           3        0
llx_categorie_ticket                                   3        1
llx_categorie_user                                     3        1
llx_categorie_warehouse                                3        0
llx_categorie_website_page                             3        0
llx_categories_extrafields                             4        0
llx_category_bank                                      3        1
llx_category_bankline                                  3        1
llx_chargesociales                                    22        0
llx_commande                                          58        3
llx_commande_extrafields                               4        0
llx_commande_fournisseur                              48       14
llx_commande_fournisseur_extrafields                   4        0
llx_commande_fournisseur_log                           7        0
llx_commande_fournisseurdet                           39       17
llx_commande_fournisseurdet_extrafields                4        0
llx_commandedet                                       44       12
llx_commandedet_extrafields                            4        0
llx_comment                                           10        0
llx_const                                              8        2
llx_contrat                                           37        1
llx_contrat_extrafields                                4        0
llx_contratdet                                        46        1
llx_contratdet_extrafields                             4        0
llx_cronjob                                           36        1
llx_default_values                                     7        0
llx_delivery                                          24        0
llx_delivery_extrafields                               4        0
llx_deliverydet                                       11        0
llx_deliverydet_extrafields                            4        0
llx_deplacement                                       17        0
llx_document_model                                     6        1
llx_don                                               34        0
llx_don_extrafields                                    4        0
llx_ecm_directories                                   15        0
llx_ecm_directories_extrafields                        4        0
llx_ecm_files                                         26       33
llx_ecm_files_extrafields                              4        0
llx_element_categorie                                  4        0
llx_element_contact                                    6       20
llx_element_element                                    6        3
llx_element_resources                                 10        1
llx_element_time                                      19       16
llx_emailcollector_emailcollector                     30        0
llx_emailcollector_emailcollectoraction               11        0
